,img,Province,Cases,Recoveries,Deaths,active,lat,long
0,https://4.bp.blogspot.com/-ELlrLdH0frM/WSz4AjqIWaI/AAAAAAAAASY/EF5ayA5zXn05TXw53cRUVTJeh6lzUJDDwCLcB/s400/Lambang%2BDaerah%2BProvinsi%2BBali%2B2.png,Bali,123314,111055,4087,8172,-8.4095178,115.188916
1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Coat_of_arms_of_Bangka_Belitung_Islands.svg/1200px-Coat_of_arms_of_Bangka_Belitung_Islands.svg.png,Bangka Belitung Islands,52664,50964,1462,238,-2.7410513,106.4405872
2,https://upload.wikimedia.org/wikipedia/commons/8/82/Coat_of_arms_of_Banten.png,Banten,164588,133574,2711,28303,-6.4058172,106.0640179
3,https://upload.wikimedia.org/wikipedia/commons/7/7d/Coat_of_arms_of_Bengkulu.png,Bengkulu,23239,22635,474,130,-3.5778471,102.3463875
4,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Jawa_Tengah_Logo.svg/526px-Jawa_Tengah_Logo.svg.png,Central Java,491626,456420,30332,4874,-7.150975,110.1402594
5,https://upload.wikimedia.org/wikipedia/commons/e/eb/Coat_of_arms_of_Central_Kalimantan.png,Central Kalimantan,45849,44253,1409,187,-1.6814878,113.3823545
6,http://1.bp.blogspot.com/-Mb3OPbim3Gw/VrYYo_59GjI/AAAAAAAAVFw/oh24hNmZ1NU/s1600/LOGO%2BSULAWESI%2BTENGAH.png,Central Sulawesi,47394,45701,1613,80,-1.4300254,121.4456179
7,https://2.bp.blogspot.com/-S1hrqQnm0nc/XDCpZ6C7iSI/AAAAAAAABvI/MlNdKdkNBHQa0lU-1I0gyTT5FbFSR2K0QCLcBGAs/s400/logo%2Bprovinsi%2Bjawa%2Btimur.png,East Java,409431,374591,29785,5055,-7.5360639,112.2384017
8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Coat_of_arms_of_East_Kalimantan.svg/1200px-Coat_of_arms_of_East_Kalimantan.svg.png,East Kalimantan,159269,153137,5461,671,1.6406296,116.419389
9,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Coat_of_arms_of_East_Nusa_Tenggara.svg/1200px-Coat_of_arms_of_East_Nusa_Tenggara.svg.png,East Nusa Tenggara,64839,63146,1353,340,-8.6573819,121.0793705
10,https://3.bp.blogspot.com/-75ec3fJKhgU/UNl0Tdg9UXI/AAAAAAAAIrg/YztGIINVa2w/s1600/LOGO+PROVINSI+GORONTALO.png,Gorontalo,11882,11399,461,22,0.6999372,122.4467238
11,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Coat_of_arms_of_Jakarta.svg/1200px-Coat_of_arms_of_Jakarta.svg.png,Jakarta,965145,891507,13762,59876,-6.211544,106.845172
12,https://2.bp.blogspot.com/-y0bGVkW2XfY/Tdui2omcCgI/AAAAAAAADro/Ufjlj4w8nhs/s1600/logo+Jambi.png,Jambi,29925,29013,785,127,-1.4851831,102.4380581
13,https://upload.wikimedia.org/wikipedia/commons/b/b9/Lampung_coa.png,Lampung,50449,45463,3884,1102,-4.5585849,105.4068079
14,https://upload.wikimedia.org/wikipedia/commons/2/2b/Lambang_Provinsi_Maluku.png,Maluku,15316,14342,269,705,-3.2384616,130.1452734
15,https://upload.wikimedia.org/wikipedia/commons/3/33/Emblem_of_North_Kalimantan.png,North Kalimantan,36013,35176,811,26,1.5802128,114.0308546
16,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Coat_of_arms_of_North_Maluku.png/1200px-Coat_of_arms_of_North_Maluku.png,North Maluku,12137,11812,303,22,1.5709993,127.8087693
17,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Coat_of_arms_of_North_Sulawesi.svg/1200px-Coat_of_arms_of_North_Sulawesi.svg.png,North Sulawesi,35204,33801,1069,334,0.6246932,123.9750018
18,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Coat_of_arms_of_North_Sumatra.svg/1200px-Coat_of_arms_of_North_Sumatra.svg.png,North Sumatra,107393,103295,2900,1198,2.1153547,99.5450974
19,https://upload.wikimedia.org/wikipedia/commons/d/de/Coat_of_Arms_of_Papua.png,Papua,35510,33727,560,1223,-4.269928,138.0803529
20,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Coat_of_arms_of_Riau.svg/1200px-Coat_of_arms_of_Riau.svg.png,Riau,129468,124537,4125,806,0.2933469,101.7068294
21,https://upload.wikimedia.org/wikipedia/commons/e/ee/Coat_of_arms_of_Riau_Islands.png,Riau Islands,55163,53090,1749,324,3.9456514,108.1428669
22,https://pngimage.net/wp-content/uploads/2018/06/logo-provinsi-kalimantan-selatan-png.png,South Kalimantan,70979,67609,2393,977,-3.0926415,115.2837585
23,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Coat_of_arms_of_South_Sulawesi.svg/1200px-Coat_of_arms_of_South_Sulawesi.svg.png,South Sulawesi,110694,107890,2247,557,-3.6687994,119.9740534
24,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Coat_of_arms_of_South_Sulawesi.svg/1200px-Coat_of_arms_of_South_Sulawesi.svg.png,South Sumatra,60666,56952,3084,630,-3.6687994,119.9740534
25,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Coat_of_arms_of_Southeast_Sulawesi.svg/1200px-Coat_of_arms_of_Southeast_Sulawesi.svg.png,Southeast Sulawesi,20280,19647,529,104,-4.14491,122.174605
26,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Coat_of_arms_of_Yogyakarta.svg/1200px-Coat_of_arms_of_Yogyakarta.svg.png,Special Region of Yogyakarta,158459,151841,5279,1339,-7.8753849,110.4262088
27,https://3.bp.blogspot.com/-BRV8kAVyi4I/XDX3S86Pk5I/AAAAAAAABwA/K5fnfc4c1VYps0EcV32qP6yB96kghqU3QCLcBGAs/s1600/logo%2Bjawa%2Bbarat.png,West Java,757896,698379,14787,44730,-7.090911,107.668887
28,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Coat_of_arms_of_West_Kalimantan.svg/1200px-Coat_of_arms_of_West_Kalimantan.svg.png,West Kalimantan,42171,40857,1064,250,-0.2787808,111.4752851
29,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Coat_of_arms_of_West_Nusa_Tenggara.svg/1200px-Coat_of_arms_of_West_Nusa_Tenggara.svg.png,West Nusa Tenggara,28245,27047,824,374,-8.6529334,117.3616476
30,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Coat_of_arms_of_West_Papua.svg/1200px-Coat_of_arms_of_West_Papua.svg.png,West Papua,24086,23424,357,305,-1.3361154,133.1747162
31,https://upload.wikimedia.org/wikipedia/commons/8/81/Coat_of_arms_of_West_Sulawesi.png,West Sulawesi,12395,12027,347,21,-2.8441371,119.2320784
32,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Coat_of_arms_of_West_Sumatra.svg/1200px-Coat_of_arms_of_West_Sumatra.svg.png,West Sumatra,90219,87769,2154,296,-0.7399397,100.8000051
